,Local.Authority,Eligible,ValidVotes,PctTurnout,Con,Lab,LD,UKIP,Green,BNP,SNP,PC,Other,GSSCode,MatchName
25,SCOTTISH BORDERS,91488,32730,35.8,0.3046746104,0.1027497709,0.1669721968,0.1239841124,0.0751298503,0.0068438741,0.2069966392,NA,0.0126489459,S12000026,Scottish Borders
26,SHETLAND ISLANDS,17496,5159,29.5,0.105252956,0.1143632487,0.3401822059,0.1194029851,0.1236673774,0.0077534406,0.1738709052,NA,0.0155068812,S12000027,Shetland Islands
27,SOUTH AYRSHIRE,90400,32413,35.9,0.3038287107,0.222935242,0.0300805232,0.1030142227,0.047820319,0.0073735847,0.271094931,NA,0.0138524666,S12000028,South Ayrshire
28,SOUTH LANARKSHIRE,247269,74313,30.1,0.138078129,0.3346789929,0.0354581298,0.1101556928,0.0599087643,0.0093388775,0.2949012959,NA,0.0174801179,S12000029,South Lanarkshire
29,STIRLING,66074,25129,38,0.2215766644,0.2248796212,0.0571053365,0.0875880457,0.1050579012,0.0050539218,0.2888296391,NA,0.0099088702,S12000030,Stirling
30,WEST DUNBARTONSHIRE,67186,20060,29.9,0.0809571286,0.3804087737,0.01889332,0.105333998,0.0667497507,0.007328016,0.3224327019,NA,0.0178963111,S12000039,West Dunbartonshire
31,WEST LOTHIAN,129049,43943,34.1,0.1161049541,0.3170470837,0.0324283731,0.118972305,0.0616708008,0.0102860524,0.324943677,NA,0.0185467537,S12000040,West Lothian
32,WESTERN ISLES - COMHAIRLE NAN EILEAN SIAR,22039,7687,34.9,0.0989983088,0.2396253415,0.0316118122,0.1101860284,0.065044881,0.0085859243,0.430597112,NA,0.0153505919,S12000013,Comhairle nan Eilean Siar
33,Blaenau Gwent,52800,14229,26.9,0.0620563638,0.4653173097,0.0134232905,0.3021997329,0.0232623515,0.0209431443,NA,0.0818047649,0.0309930424,W06000019,Blaenau Gwent
34,Bridgend,103303,30366,29.4,0.1518803925,0.3605677402,0.0284528749,0.2873608641,0.0356319568,0.0125139959,NA,0.097773826,0.0258183495,W06000013,Bridgend
35,Caerphilly,131092,38407,29.3,0.0894107845,0.3711042258,0.0174707736,0.3074699924,0.033353295,0.0147889708,NA,0.1403910745,0.0260108834,W06000018,Caerphilly
36,Cardiff,255556,80924,31.7,0.1890292126,0.30891948,0.0673965696,0.227003114,0.0733898473,0.0080569423,NA,0.1076689239,0.0185359102,W06000015,Cardiff
37,Carmarthenshire,139411,50362,36.1,0.1327588261,0.2341646479,0.01896271,0.2473889043,0.0375084389,0.0083991899,NA,0.3034232159,0.017394067,W06000010,Carmarthenshire
38,Ceredigion,55800,20475,36.7,0.1317704518,0.1030525031,0.1138949939,0.2021001221,0.0803907204,0.0061538462,NA,0.3486691087,0.013968254,W06000008,Ceredigion
39,Conwy,92062,28506,31,0.2547183049,0.1757875535,0.0309759349,0.3022872378,0.0371500737,0.0085596015,NA,0.1731565285,0.0173647653,W06000003,Conwy
40,Denbighshire,75135,24278,32.3,0.2466018618,0.23012604,0.0278029492,0.2703270451,0.0343932779,0.0090205124,NA,0.1624516023,0.0192767114,W06000004,Denbighshire
41,Flintshire,115697,36033,31.1,0.2091971249,0.2808814143,0.0330807871,0.32747759,0.0357172592,0.011406211,NA,0.0817861405,0.0204534732,W06000005,Flintshire
42,Gwynedd,83358,29261,35.1,0.1212193705,0.1501315745,0.0232732989,0.1975325519,0.048255357,0.0065616349,NA,0.4347083148,0.0183178975,W06000002,Gwynedd
43,Isle of Anglesey - Ynys Mon,49764,18826,37.8,0.1442154467,0.1622755763,0.0161478806,0.276266865,0.026346542,0.0080208223,NA,0.3510570488,0.0156698183,W06000001,Isle of Anglesey
44,Merthyr Tydfil,43679,11820,27.1,0.0704737733,0.3917935702,0.0205583756,0.3379864636,0.0262267343,0.0148054146,NA,0.1069373942,0.0312182741,W06000024,Merthyr Tydfil
45,Monmouthshire,71421,24011,33.6,0.3318895506,0.1976594061,0.043146891,0.2814126859,0.0620548915,0.0069551456,NA,0.0626379576,0.0142434717,W06000021,Monmouthshire
46,Neath & Port Talbot,107624,34875,32.4,0.085734767,0.4166594982,0.0186666667,0.2644874552,0.0319426523,0.0148817204,NA,0.1395555556,0.0280716846,W06000012,Neath Port Talbot
47,Newport,103169,31780,30.8,0.1826305853,0.3350534928,0.0333857772,0.3264946507,0.0384203902,0.0110761485,NA,0.0522655758,0.0206733795,W06000022,Newport
48,Pembrokeshire,90725,31957,35.2,0.2894514504,0.2130362675,0.0275057108,0.2805332165,0.0451857183,0.0087304816,NA,0.1196607942,0.0158963607,W06000009,Pembrokeshire
49,Powys,102713,37592,36.6,0.2702170675,0.1388859332,0.1294158332,0.2769738242,0.0635507555,0.0079006172,NA,0.0989306235,0.0141253458,W06000023,Powys
50,Rhondda Cynon Taff,173297,51519,29.7,0.075506124,0.3800345504,0.0203808304,0.2614763485,0.0321823017,0.0129855005,NA,0.1892117471,0.0282225975,W06000016,"Rhondda, Cynon, Taff"
51,Swansea,182567,54195,29.7,0.1614540087,0.3341452163,0.0404834394,0.282406126,0.0523295507,0.0111264877,NA,0.0948611496,0.0231940216,W06000011,Swansea
52,Torfaen,68636,20190,29.4,0.1386329866,0.3557701833,0.0254581476,0.3253590887,0.0352154532,0.0139673105,NA,0.0806339772,0.0249628529,W06000020,Torfaen
53,Vale Of Glamorgan,93098,33901,36.4,0.2710834489,0.233798413,0.0326244064,0.2824990413,0.0511489337,0.0074924044,NA,0.1027698298,0.0185835226,W06000014,The Vale of Glamorgan
54,Wrexham,100428,29553,29.4,0.1844482794,0.2726626738,0.0382025513,0.3237911549,0.0375934761,0.0133319798,NA,0.1086184144,0.0213514702,W06000006,Wrexham
55,Barking and Dagenham ,119810,45344,37.8,0.0822159492,0.4933177488,0.0130998589,0.2813823218,0.029441602,0.0253837332,NA,NA,0.0751587862,E09000002,Barking and Dagenham
56,Barnet ,236815,93476,39.5,0.3448371775,0.3078223287,0.0472634687,0.1501882836,0.0787581839,0.004963841,NA,NA,0.0661667166,E09000003,Barnet
57,Bexley ,179050,68225,38.1,0.2576035178,0.2072847197,0.0233345548,0.3758446317,0.0444851594,0.0173543422,NA,NA,0.0740930744,E09000004,Bexley
58,Brent ,192012,73602,38.3,0.1803891199,0.4680715198,0.0996304448,0.0871443711,0.0696040868,0.0093611587,NA,NA,0.0857992989,E09000005,Brent
59,Bromley ,231329,94466,40.8,0.3236402515,0.1578874939,0.0573751403,0.3110748841,0.080346368,0.006616137,NA,NA,0.0630597252,E09000006,Bromley
60,Camden ,140599,57700,41,0.1965857886,0.4037088388,0.0964991334,0.0924956672,0.1409358752,0.006169844,NA,NA,0.0636048527,E09000007,Camden
61,City of London ,6120,2274,37.2,0.3016710642,0.2401055409,0.1367634125,0.13764292,0.1279683377,0.0043975374,NA,NA,0.0514511873,E09000001,City of London
62,Croydon ,248923,97687,39.2,0.2731888583,0.3320707975,0.0385721744,0.2002313512,0.0699069477,0.0105541167,NA,NA,0.0754757542,E09000008,Croydon
63,Ealing ,219952,95305,43.3,0.2004931536,0.4557578301,0.057457636,0.1115576308,0.0734169246,0.0088243009,NA,NA,0.092492524,E09000009,Ealing
64,Enfield ,196782,77084,39.2,0.226142909,0.4163120751,0.0299543355,0.1851356961,0.0663561829,0.0077058793,NA,NA,0.068392922,E09000010,Enfield
65,Greenwich ,165222,63623,38.5,0.1608852145,0.4053251183,0.0405199378,0.2096883203,0.0861638087,0.0123854581,NA,NA,0.0850321425,E09000011,Greenwich
66,Hackney ,160081,65662,41,0.1121957906,0.5405104931,0.0564557887,0.049039018,0.1767841369,0.0047363772,NA,NA,0.0602783954,E09000012,Hackney
67,Hammersmith and Fulham ,115717,46801,40.4,0.3092455289,0.3316168458,0.0645285357,0.1225614837,0.0951048055,0.0058118416,NA,NA,0.0711309587,E09000013,Hammersmith and Fulham
68,Haringey ,175502,63501,36.2,0.1127383821,0.4843545771,0.1153210186,0.0711012425,0.1522653187,0.0045196139,NA,NA,0.0596998472,E09000014,Haringey
69,Harrow ,170864,71662,41.9,0.3124110407,0.355055678,0.0375652368,0.1400463286,0.0538500181,0.0089308141,NA,NA,0.0921408836,E09000015,Harrow
70,Havering ,184104,79228,43,0.2472610693,0.1556394204,0.0192987328,0.4362094209,0.0441889231,0.0171025395,NA,NA,0.080299894,E09000016,Havering
71,Hillingdon ,201367,73753,36.6,0.2714737028,0.2874188169,0.0333003403,0.2677314821,0.050099657,0.0126367741,NA,NA,0.0773392269,E09000017,Hillingdon
72,Hounslow ,173676,67206,38.7,0.2192363777,0.4128649228,0.038687022,0.1702675356,0.0658423355,0.0098056721,NA,NA,0.0832961343,E09000018,Hounslow
73,Islington ,142650,57510,40.3,0.1151278039,0.475186924,0.0893062076,0.0982785603,0.1565466875,0.0060685098,NA,NA,0.0594853069,E09000019,Islington
74,Kensington and Chelsea ,88359,29334,33.2,0.420808618,0.2188245722,0.0664075816,0.1472352901,0.0814413309,0.005318061,NA,NA,0.0599645463,E09000020,Kensington and Chelsea
75,Kingston upon Thames ,111306,49321,44.3,0.2976825287,0.1641085947,0.1753005819,0.1940349952,0.094706109,0.0063056305,NA,NA,0.06786156,E09000021,Kingston upon Thames
76,Lambeth ,201883,73366,36.3,0.1424229207,0.4698497942,0.0876700379,0.0786058937,0.1518414524,0.0056702015,NA,NA,0.0639396996,E09000022,Lambeth
77,Lewisham ,183938,70859,38.5,0.1151723846,0.4587561213,0.0600064918,0.1230612907,0.144342991,0.0074373051,NA,NA,0.0912234155,E09000023,Lewisham
78,Merton ,136701,59381,43.4,0.2491200889,0.3676596891,0.0658122969,0.1599501524,0.0763207086,0.0076287028,NA,NA,0.0735083613,E09000024,Merton
79,Newham ,173606,74565,43,0.1662710387,0.5844833367,0.0190840207,0.0833635083,0.0462549453,0.0097767049,NA,NA,0.0907664454,E09000025,Newham
80,Redbridge ,202197,81683,40.4,0.2382135818,0.4104648458,0.0428975429,0.1587233574,0.0559479941,0.0081045015,NA,NA,0.0856481765,E09000026,Redbridge
81,Richmond upon Thames ,132622,62838,47.4,0.3472739425,0.1317037461,0.1954072377,0.1545879882,0.1138005665,0.0040421401,NA,NA,0.0531843789,E09000027,Richmond upon Thames
82,Southwark ,193533,73115,37.8,0.1251726732,0.4320727621,0.1254188607,0.1098953703,0.1328044861,0.0076728441,NA,NA,0.0669630035,E09000028,Southwark
83,Sutton ,140553,60213,42.8,0.2459601747,0.1321641506,0.2010197134,0.2714530085,0.0609170777,0.0101639181,NA,NA,0.0783219571,E09000029,Sutton
84,Tower Hamlets ,164242,80211,48.8,0.1202702871,0.5418583486,0.0421263916,0.0980040144,0.1082021169,0.0104100435,NA,NA,0.0791287978,E09000030,Tower Hamlets
85,Waltham Forest ,164064,65920,40.2,0.1432342233,0.4278671117,0.0669902913,0.1619690534,0.1073725728,0.0088440534,NA,NA,0.0837226942,E09000031,Waltham Forest
86,Wandsworth ,215504,83691,38.8,0.347193844,0.3089101576,0.0719671171,0.1094980344,0.0995806001,0.0046838967,NA,NA,0.05816635,E09000032,Wandsworth
87,Westminster ,121161,41869,34.6,0.3389381165,0.3133344479,0.0644629678,0.1356612291,0.0792471757,0.0051828322,NA,NA,0.0631732308,E09000033,Westminster
88,Bath & North East Somerset ,131218,50447,38.4,0.272583107,0.1504747557,0.1408607053,0.2480425,0.1627450592,0.0055900252,NA,NA,0.0197038476,E06000022,Bath and North East Somerset
89,Bournemouth  ,132175,39649,30,0.2858584075,0.1220963959,0.069207294,0.3764533784,0.1037100557,0.0101137481,NA,NA,0.0325607203,E06000028,Bournemouth
90,Bristol  ,310708,113746,36.6,0.1855449862,0.2682907531,0.0986056653,0.2259420111,0.1926749072,0.0078332425,NA,NA,0.0211084346,E06000023,"Bristol, City of"
91,Cheltenham ,86681,33119,38.2,0.305655364,0.0935112775,0.2162202965,0.2485280353,0.1074307799,0.0058576648,NA,NA,0.022796582,E07000078,Cheltenham
92,Christchurch ,39435,14895,37.8,0.3458207452,0.0816381336,0.0539778449,0.4073850285,0.0729103726,0.0063779792,NA,NA,0.0318898959,E07000048,Christchurch
93,Cornwall ,407477,146960,36.1,0.2565187806,0.1097033206,0.1213935765,0.3670590637,0.1115813827,0.0075258574,NA,NA,0.0262180185,E06000052,Cornwall
94,Cotswold  ,68026,25997,38.2,0.4178559065,0.0862791861,0.1178212871,0.264068931,0.0867023118,0.0058083625,NA,NA,0.0214640151,E07000079,Cotswold
95,East Devon ,99143,40997,41.4,0.3328780155,0.0883723199,0.0752494085,0.3530746152,0.1213259507,0.0051955021,NA,NA,0.0239041881,E07000040,East Devon
96,East Dorset  ,71982,27788,38.6,0.3699798474,0.0611774867,0.0894990643,0.3841946164,0.0637685332,0.0055779473,NA,NA,0.0258025047,E07000049,East Dorset
97,Exeter ,86101,34991,40.6,0.2168271841,0.2745848933,0.0788774256,0.2515218199,0.1498671087,0.0059729645,NA,NA,0.0223486039,E07000041,Exeter
98,Forest of Dean ,65876,23717,36,0.2739385251,0.1799553063,0.0521988447,0.3524476114,0.1091200405,0.007252182,NA,NA,0.02508749,E07000080,Forest of Dean
99,Gibraltar Parliament ,22265,7180,32.2,0.1721448468,0.0917827298,0.6715877437,0.0403899721,0.0116991643,0.0058495822,NA,NA,0.006545961,NA,Gibraltar
100,Gloucester  ,90598,31594,34.9,0.2758435146,0.2183642464,0.0737165285,0.3219915174,0.0664366652,0.0089257454,NA,NA,0.0347217826,E07000081,Gloucester
101,Isles of Scilly ,1669,529,31.7,0.258979206,0.1058601134,0.1474480151,0.2835538752,0.1644612476,0.0056710775,NA,NA,0.034026465,E06000053,Isles of Scilly
102,Mendip  ,84310,31749,37.7,0.2987180699,0.0897351098,0.1532961668,0.28331601,0.1466502882,0.0054489905,NA,NA,0.0228353649,E07000187,Mendip
103,Mid Devon  ,59599,22052,37,0.3270905133,0.0993107201,0.0905133321,0.3253673136,0.1286051152,0.0071195356,NA,NA,0.02199347,E07000042,Mid Devon
104,North Devon  ,74361,27265,36.7,0.2726572529,0.0766917293,0.146708234,0.3635430039,0.1071703649,0.0065285164,NA,NA,0.0267008986,E07000043,North Devon
105,North Dorset  ,51784,20688,40,0.3575986079,0.0668986852,0.0927107502,0.3558584687,0.0976411446,0.0056071152,NA,NA,0.0236852282,E07000050,North Dorset
106,North Somerset ,158487,56755,35.8,0.3117610783,0.12164567,0.0965201304,0.329133997,0.108096203,0.0076469034,NA,NA,0.025196018,E06000024,North Somerset
107,Plymouth ,179688,67335,37.5,0.2352268508,0.232093265,0.0436771367,0.3699858914,0.0766169154,0.0118066384,NA,NA,0.0305933021,E06000026,Plymouth
108,Poole ,114273,37160,32.5,0.2939181916,0.1005113025,0.1039289559,0.3854682454,0.0799515608,0.0076695371,NA,NA,0.0285522067,E06000029,Poole
109,Purbeck District Council ,35853,14604,40.7,0.3266228431,0.0879211175,0.1209942482,0.3395645029,0.0861407833,0.0060942208,NA,NA,0.0326622843,E07000051,Purbeck
110,Sedgemoor ,86225,29526,34.2,0.2925895821,0.1138657454,0.0985572038,0.3798685904,0.0812842918,0.0092122197,NA,NA,0.0246223667,E07000188,Sedgemoor
111,South Gloucestershire ,204935,73266,35.8,0.2735648186,0.1614254907,0.1114022876,0.3391341141,0.0793137335,0.0088035378,NA,NA,0.0263560178,E06000025,South Gloucestershire
112,South Hams ,67649,28009,41.4,0.3443536006,0.0912206791,0.0804027277,0.2876932415,0.1721589489,0.0042843372,NA,NA,0.0198864651,E07000044,South Hams
113,South Somerset  ,127884,50020,39.1,0.2904038385,0.0663934426,0.1946421431,0.3355857657,0.0830867653,0.0058776489,NA,NA,0.0240103958,E07000189,South Somerset
114,Stroud  ,90314,38099,42.2,0.3005590698,0.1855954225,0.0653035513,0.2453607706,0.1713430799,0.007139295,NA,NA,0.024698811,E07000082,Stroud
115,Swindon  ,156315,55415,35.5,0.2679599386,0.2477488045,0.0651087251,0.3071551024,0.0729585852,0.0090769647,NA,NA,0.0299918795,E06000030,Swindon
116,Taunton Deane ,77039,29765,38.6,0.2970939022,0.0928607425,0.1583067361,0.315336805,0.1052914497,0.0063833361,NA,NA,0.0247270284,E07000190,Taunton Deane
117,Teignbridge  ,101476,39313,38.7,0.3030040953,0.0934550912,0.1143896421,0.3397858215,0.1185104164,0.0071477628,NA,NA,0.0237071707,E07000045,Teignbridge
118,Tewkesbury  ,65589,22897,34.9,0.3606149277,0.1063894833,0.0998820806,0.3129230904,0.0852950168,0.006420055,NA,NA,0.0284753461,E07000083,Tewkesbury
119,Torbay  ,104642,33933,32.4,0.2594524504,0.0935962043,0.1074764978,0.4322046386,0.072407391,0.007986326,NA,NA,0.0268764919,E06000027,Torbay
120,Torridge  ,51583,19869,38.5,0.2871810358,0.0840002013,0.0803261362,0.4031909004,0.1123861291,0.006643515,NA,NA,0.0262720821,E07000046,Torridge
121,West Devon  ,42709,18084,42.3,0.3328356558,0.0844392833,0.0868170759,0.3412961734,0.1259124088,0.0061933201,NA,NA,0.0225060827,E07000047,West Devon
122,West Dorset  ,80548,32644,40.5,0.3378262468,0.0937691459,0.1153963975,0.2987378998,0.1253216518,0.0049626271,NA,NA,0.0239860311,E07000052,West Dorset
123,West Somerset ,27971,10929,39.1,0.3368103212,0.0902186842,0.0850947022,0.3577637478,0.1004666484,0.0063134779,NA,NA,0.0233324183,E07000191,West Somerset
124,Weymouth & Portland ,49592,17999,36.3,0.2535140841,0.1944552475,0.0773376299,0.3359631091,0.0931718429,0.008222679,NA,NA,0.0373354075,E07000053,Weymouth and Portland
125,Wiltshire ,353735,130457,36.9,0.3549522065,0.0993507439,0.1016426869,0.3139041983,0.0978789946,0.0066611987,NA,NA,0.0256099711,E06000054,Wiltshire
126,Adur ,48250,18051,37.4,0.2845825716,0.1480804388,0.065037948,0.362639189,0.0798293723,0.006537034,NA,NA,0.0532934463,E07000223,Adur
127,Arun ,111422,42023,37.7,0.3051662185,0.0945196678,0.0524474692,0.4262665683,0.0683435262,0.0066868144,NA,NA,0.0465697356,E07000224,Arun
128,Ashford ,88719,31399,35.4,0.3023026211,0.1242077773,0.0555750183,0.3889295837,0.0755756553,0.0078346444,NA,NA,0.0455746998,E07000105,Ashford
129,Aylesbury Vale ,135629,47744,35.2,0.3152438003,0.1161821381,0.0879063338,0.3533428284,0.0824187332,0.0072469839,NA,NA,0.0376591823,E07000004,Aylesbury Vale
130,Basingstoke and Deane  ,129832,47110,36.3,0.3333050308,0.1510719592,0.0802801953,0.2965187858,0.0794098917,0.0086605816,NA,NA,0.0507535555,E07000084,Basingstoke and Deane
131,Bracknell Forest ,84702,27756,32.8,0.324650526,0.1528318201,0.0625450353,0.329478311,0.0733535092,0.0103761349,NA,NA,0.0467646635,E06000036,Bracknell Forest
132,Brighton & Hove  ,200433,75781,37.8,0.2061994431,0.2693815072,0.0531135773,0.1874480411,0.2452593658,0.0040775392,NA,NA,0.0345205263,E06000043,Brighton and Hove
133,Canterbury ,111683,39153,35.1,0.2571450464,0.153551452,0.0774142467,0.3437539908,0.1224427247,0.0059254719,NA,NA,0.0397670677,E07000106,Canterbury
134,Cherwell  ,106035,38238,36.1,0.3226894712,0.1721847377,0.0725717872,0.2875673414,0.0873476646,0.0088393744,NA,NA,0.0487996234,E07000177,Cherwell
135,Chichester  ,90266,32778,36.3,0.3738178046,0.0844773934,0.072701202,0.3240588199,0.1004027091,0.0051864055,NA,NA,0.0393556654,E07000225,Chichester
136,Chiltern ,72940,28453,39,0.3733525463,0.0849471058,0.0816434119,0.3269953959,0.0935929427,0.0045337926,NA,NA,0.0349348048,E07000005,Chiltern
137,Crawley  ,75409,27438,36.4,0.2483052701,0.280851374,0.0358626722,0.3211604344,0.0505138859,0.0111888622,NA,NA,0.0521175013,E07000226,Crawley
138,Dartford ,71466,26380,36.9,0.2413191812,0.2017816528,0.0290371494,0.4078089462,0.0483699773,0.0116376042,NA,NA,0.060045489,E07000107,Dartford
139,Dover  ,84784,33145,39.1,0.2448333082,0.2005732388,0.0455875698,0.3924875547,0.0642027455,0.0076632976,NA,NA,0.0446522854,E07000108,Dover
140,East Hampshire  ,87320,32012,36.7,0.3943833562,0.0794077221,0.0888104461,0.3006060227,0.0912470324,0.0050918406,NA,NA,0.0404535799,E07000085,East Hampshire
141,Eastbourne ,70976,26146,36.8,0.2679951044,0.0964583493,0.1557790867,0.3639562457,0.065822688,0.0055457814,NA,NA,0.0444427446,E07000061,Eastbourne
142,Eastleigh  ,97495,37372,38.3,0.2421866638,0.0977737343,0.1988654608,0.3499143744,0.0659317136,0.0063684042,NA,NA,0.0389596489,E07000086,Eastleigh
143,Elmbridge  ,95732,36419,38,0.4312309509,0.1032977292,0.0909415415,0.2461901755,0.0805623438,0.0047502677,NA,NA,0.0430269914,E07000207,Elmbridge
144,Epsom & Ewell  ,56309,19778,35.1,0.3259176863,0.1408130246,0.0839316412,0.3202548286,0.0818586308,0.0056122965,NA,NA,0.041611892,E07000208,Epsom and Ewell
145,Fareham ,89945,34789,38.7,0.3568656759,0.0863203886,0.0889074133,0.3395038662,0.0741326281,0.0066112852,NA,NA,0.0476587427,E07000087,Fareham
146,Gosport ,62834,20958,33.4,0.3133409676,0.1182841874,0.0618379616,0.3720297738,0.0639851131,0.0107357572,NA,NA,0.0597862391,E07000088,Gosport
147,Gravesham ,72854,26018,35.7,0.2343377662,0.2235375509,0.0264432316,0.41532785,0.0467753094,0.0084172496,NA,NA,0.0451610424,E07000109,Gravesham
148,Guildford ,101508,38587,38,0.3784953482,0.1037655169,0.1183818384,0.2572368933,0.0937103169,0.005753233,NA,NA,0.0426568533,E07000209,Guildford
149,Hart  ,69411,27044,39,0.4183182961,0.0741384411,0.1025735838,0.2748483952,0.077318444,0.0059532614,NA,NA,0.0468495785,E07000089,Hart
150,Hastings ,59949,22821,38.1,0.2100696727,0.281626572,0.0446080365,0.3055957232,0.0932036282,0.0088514964,NA,NA,0.056044871,E07000062,Hastings
151,Havant ,94930,30878,32.5,0.306885161,0.1067750502,0.0616296392,0.3838331498,0.0797979144,0.010266209,NA,NA,0.0508128765,E07000090,Havant
152,Horsham  ,100726,37456,37.2,0.3550299018,0.0874359248,0.0890378044,0.333404528,0.0894916702,0.0052328065,NA,NA,0.0403673644,E07000227,Horsham
153,Isle of Wight  ,111879,35506,31.7,0.2629133104,0.1044330536,0.055455416,0.4093111023,0.1085450346,0.0082802907,NA,NA,0.0510617924,E06000046,Isle of Wight
154,Lewes  ,75223,29095,38.7,0.2474995704,0.1254854786,0.1314315174,0.3251074068,0.1279601306,0.0039525692,NA,NA,0.038563327,E07000063,Lewes
155,Maidstone  ,108834,43186,39.7,0.2882878711,0.1067938684,0.112212291,0.3699578567,0.066595656,0.008058167,NA,NA,0.0480942898,E07000110,Maidstone
156,Medway  ,193650,65101,33.6,0.2310717193,0.1912105805,0.0371730081,0.418810771,0.0565889925,0.0116895286,NA,NA,0.0534554001,E06000035,Medway
157,Mid Sussex ,106869,37447,35,0.3543675061,0.1023579993,0.0865222848,0.3187171202,0.0957086015,0.0042727054,NA,NA,0.0380537827,E07000228,Mid Sussex
