Scottish Council Area 2011,National Statistics Socio-economic Classification (NS-SeC),Count
S12000035,L7.3 Intermediate technical and auxiliary,727
S12000035,L7.4 Intermediate engineering,294
S12000035,L8.1 Employers in small organisations (non-professional),2399
S12000035,L8.2 Employers in small organisations (agriculture),367
S12000035,L9.1 Own account workers (non-professional),4605
S12000035,L9.2 Own account workers (agriculture),1092
S12000035,L10 Lower supervisory,3323
S12000035,L11.1 Lower technical craft,1878
S12000035,L11.2 Lower technical process operative,251
S12000035,L12.1 Semi-routine sales,2728
S12000035,L12.2 Semi-routine service,4602
S12000035,L12.3 Semi-routine technical,344
S12000035,L12.4 Semi-routine operative,963
S12000035,L12.5 Semi-routine agriculture,319
S12000035,L12.6 Semi-routine clerical,715
S12000035,L12.7 Semi-routine childcare,291
S12000035,L13.1 Routine sales and service,1371
S12000035,L13.2 Routine production,392
S12000035,L13.3 Routine technical,2738
S12000035,L13.4 Routine operative,2830
S12000035,L13.5 Routine agricultural,171
S12000035,L14.1 Never worked,1270
S12000035,L14.2 Long-term unemployed,1011
S12000035,L15 Full-time students,3380
S12000005,All people aged 16 to 74,38771
S12000005,L1 Employers in large organisations,4
S12000005,L2 Higher managerial,643
S12000005,L3.1 (Traditional) - Employees,1095
S12000005,L3.2 (New) - Employees,695
S12000005,L3.3 (Traditional) - Self-employed,224
S12000005,L3.4 (New) - Self-employed,57
S12000005,L4.1 (Traditional) - Employees,4073
S12000005,L4.2 (New) - Employees,390
S12000005,L4.3 (Traditional) - Self-employed,270
S12000005,L4.4 (New) - Self-employed,69
S12000005,L5 Lower managerial,1557
S12000005,L6 Higher supervisory,1103
S12000005,L7.1 Intermediate clerical and administrative,2763
S12000005,L7.2 Intermediate sales and service,1495
S12000005,L7.3 Intermediate technical and auxiliary,377
S12000005,L7.4 Intermediate engineering,167
S12000005,L8.1 Employers in small organisations (non-professional),677
S12000005,L8.2 Employers in small organisations (agriculture),36
S12000005,L9.1 Own account workers (non-professional),1662
S12000005,L9.2 Own account workers (agriculture),70
S12000005,L10 Lower supervisory,2041
S12000005,L11.1 Lower technical craft,1423
S12000005,L11.2 Lower technical process operative,178
S12000005,L12.1 Semi-routine sales,2106
S12000005,L12.2 Semi-routine service,2576
S12000005,L12.3 Semi-routine technical,650
S12000005,L12.4 Semi-routine operative,701
S12000005,L12.5 Semi-routine agriculture,65
S12000005,L12.6 Semi-routine clerical,443
S12000005,L12.7 Semi-routine childcare,157
S12000005,L13.1 Routine sales and service,674
S12000005,L13.2 Routine production,771
S12000005,L13.3 Routine technical,2099
S12000005,L13.4 Routine operative,2624
S12000005,L13.5 Routine agricultural,46
S12000005,L14.1 Never worked,1477
S12000005,L14.2 Long-term unemployed,925
S12000005,L15 Full-time students,2388
S12000006,All people aged 16 to 74,111107
S12000006,L1 Employers in large organisations,12
S12000006,L2 Higher managerial,1500
S12000006,L3.1 (Traditional) - Employees,2842
S12000006,L3.2 (New) - Employees,1022
S12000006,L3.3 (Traditional) - Self-employed,897
S12000006,L3.4 (New) - Self-employed,121
S12000006,L4.1 (Traditional) - Employees,11324
S12000006,L4.2 (New) - Employees,697
S12000006,L4.3 (Traditional) - Self-employed,1072
S12000006,L4.4 (New) - Self-employed,148
S12000006,L5 Lower managerial,4158
S12000006,L6 Higher supervisory,3170
S12000006,L7.1 Intermediate clerical and administrative,7442
S12000006,L7.2 Intermediate sales and service,3032
S12000006,L7.3 Intermediate technical and auxiliary,1464
S12000006,L7.4 Intermediate engineering,450
S12000006,L8.1 Employers in small organisations (non-professional),3366
S12000006,L8.2 Employers in small organisations (agriculture),1194
S12000006,L9.1 Own account workers (non-professional),6803
S12000006,L9.2 Own account workers (agriculture),2531
S12000006,L10 Lower supervisory,5923
S12000006,L11.1 Lower technical craft,3492
S12000006,L11.2 Lower technical process operative,477
S12000006,L12.1 Semi-routine sales,5818
S12000006,L12.2 Semi-routine service,8120
S12000006,L12.3 Semi-routine technical,1452
S12000006,L12.4 Semi-routine operative,2856
S12000006,L12.5 Semi-routine agriculture,1625
S12000006,L12.6 Semi-routine clerical,1233
S12000006,L12.7 Semi-routine childcare,587
S12000006,L13.1 Routine sales and service,2108
S12000006,L13.2 Routine production,1316
S12000006,L13.3 Routine technical,6239
S12000006,L13.4 Routine operative,6031
S12000006,L13.5 Routine agricultural,253
S12000006,L14.1 Never worked,2895
S12000006,L14.2 Long-term unemployed,1813
S12000006,L15 Full-time students,5624
S12000042,All people aged 16 to 74,111319
S12000042,L1 Employers in large organisations,10
S12000042,L2 Higher managerial,1124
S12000042,L3.1 (Traditional) - Employees,4110
S12000042,L3.2 (New) - Employees,1490
S12000042,L3.3 (Traditional) - Self-employed,638
S12000042,L3.4 (New) - Self-employed,91
S12000042,L4.1 (Traditional) - Employees,11604
S12000042,L4.2 (New) - Employees,855
S12000042,L4.3 (Traditional) - Self-employed,613
S12000042,L4.4 (New) - Self-employed,92
S12000042,L5 Lower managerial,3226
S12000042,L6 Higher supervisory,3134
S12000042,L7.1 Intermediate clerical and administrative,7642
S12000042,L7.2 Intermediate sales and service,3461
S12000042,L7.3 Intermediate technical and auxiliary,1735
S12000042,L7.4 Intermediate engineering,472
S12000042,L8.1 Employers in small organisations (non-professional),1612
S12000042,L8.2 Employers in small organisations (agriculture),11
S12000042,L9.1 Own account workers (non-professional),3974
S12000042,L9.2 Own account workers (agriculture),34
S12000042,L10 Lower supervisory,4449
S12000042,L11.1 Lower technical craft,3266
S12000042,L11.2 Lower technical process operative,441
S12000042,L12.1 Semi-routine sales,5349
S12000042,L12.2 Semi-routine service,6583
S12000042,L12.3 Semi-routine technical,1362
S12000042,L12.4 Semi-routine operative,1591
S12000042,L12.5 Semi-routine agriculture,80
S12000042,L12.6 Semi-routine clerical,1226
S12000042,L12.7 Semi-routine childcare,463
S12000042,L13.1 Routine sales and service,1721
S12000042,L13.2 Routine production,1959
S12000042,L13.3 Routine technical,4181
S12000042,L13.4 Routine operative,7037
S12000042,L13.5 Routine agricultural,81
S12000042,L14.1 Never worked,4490
S12000042,L14.2 Long-term unemployed,2715
S12000042,L15 Full-time students,18397
S12000008,All people aged 16 to 74,91776
S12000008,L1 Employers in large organisations,3
S12000008,L2 Higher managerial,1144
S12000008,L3.1 (Traditional) - Employees,2133
S12000008,L3.2 (New) - Employees,1337
S12000008,L3.3 (Traditional) - Self-employed,474
S12000008,L3.4 (New) - Self-employed,67
S12000008,L4.1 (Traditional) - Employees,9218
S12000008,L4.2 (New) - Employees,802
S12000008,L4.3 (Traditional) - Self-employed,579
S12000008,L4.4 (New) - Self-employed,116
S12000008,L5 Lower managerial,3350
S12000008,L6 Higher supervisory,2482
S12000008,L7.1 Intermediate clerical and administrative,6333
S12000008,L7.2 Intermediate sales and service,3270
S12000008,L7.3 Intermediate technical and auxiliary,1362
S12000008,L7.4 Intermediate engineering,447
S12000008,L8.1 Employers in small organisations (non-professional),1830
S12000008,L8.2 Employers in small organisations (agriculture),260
S12000008,L9.1 Own account workers (non-professional),4402
S12000008,L9.2 Own account workers (agriculture),694
S12000008,L10 Lower supervisory,4362
S12000008,L11.1 Lower technical craft,3781
S12000008,L11.2 Lower technical process operative,563
S12000008,L12.1 Semi-routine sales,4589
S12000008,L12.2 Semi-routine service,6748
S12000008,L12.3 Semi-routine technical,1140
S12000008,L12.4 Semi-routine operative,2077
S12000008,L12.5 Semi-routine agriculture,364
S12000008,L12.6 Semi-routine clerical,907
S12000008,L12.7 Semi-routine childcare,235
S12000008,L13.1 Routine sales and service,1572
S12000008,L13.2 Routine production,1955
S12000008,L13.3 Routine technical,5268
S12000008,L13.4 Routine operative,5790
S12000008,L13.5 Routine agricultural,182
S12000008,L14.1 Never worked,3437
S12000008,L14.2 Long-term unemployed,2273
S12000008,L15 Full-time students,6230
S12000045,All people aged 16 to 74,76861
S12000045,L1 Employers in large organisations,14
S12000045,L2 Higher managerial,1743
S12000045,L3.1 (Traditional) - Employees,5046
S12000045,L3.2 (New) - Employees,2384
S12000045,L3.3 (Traditional) - Self-employed,1212
S12000045,L3.4 (New) - Self-employed,186
S12000045,L4.1 (Traditional) - Employees,12115
S12000045,L4.2 (New) - Employees,1173
S12000045,L4.3 (Traditional) - Self-employed,954
S12000045,L4.4 (New) - Self-employed,203
S12000045,L5 Lower managerial,3598
S12000045,L6 Higher supervisory,2457
S12000045,L7.1 Intermediate clerical and administrative,7315
S12000045,L7.2 Intermediate sales and service,2772
S12000045,L7.3 Intermediate technical and auxiliary,1169
S12000045,L7.4 Intermediate engineering,454
S12000045,L8.1 Employers in small organisations (non-professional),1731
S12000045,L8.2 Employers in small organisations (agriculture),35
S12000045,L9.1 Own account workers (non-professional),3830
S12000045,L9.2 Own account workers (agriculture),90
S12000045,L10 Lower supervisory,2306
S12000045,L11.1 Lower technical craft,2302
S12000045,L11.2 Lower technical process operative,152
S12000045,L12.1 Semi-routine sales,2998
S12000045,L12.2 Semi-routine service,3366
S12000045,L12.3 Semi-routine technical,475
S12000045,L12.4 Semi-routine operative,615
S12000045,L12.5 Semi-routine agriculture,24
S12000045,L12.6 Semi-routine clerical,996
S12000045,L12.7 Semi-routine childcare,363
S12000045,L13.1 Routine sales and service,925
S12000045,L13.2 Routine production,380
S12000045,L13.3 Routine technical,2045
S12000045,L13.4 Routine operative,2072
S12000045,L13.5 Routine agricultural,50
S12000045,L14.1 Never worked,1471
S12000045,L14.2 Long-term unemployed,1011
S12000045,L15 Full-time students,6829
S12000010,All people aged 16 to 74,72821
S12000010,L1 Employers in large organisations,22
S12000010,L2 Higher managerial,1322
S12000010,L3.1 (Traditional) - Employees,2759
S12000010,L3.2 (New) - Employees,1795
S12000010,L3.3 (Traditional) - Self-employed,795
S12000010,L3.4 (New) - Self-employed,148
S12000010,L4.1 (Traditional) - Employees,8049
S12000010,L4.2 (New) - Employees,918
S12000010,L4.3 (Traditional) - Self-employed,961
S12000010,L4.4 (New) - Self-employed,179
S12000010,L5 Lower managerial,3545
S12000010,L6 Higher supervisory,2251
S12000010,L7.1 Intermediate clerical and administrative,6454
S12000010,L7.2 Intermediate sales and service,2471
S12000010,L7.3 Intermediate technical and auxiliary,830
S12000010,L7.4 Intermediate engineering,298
S12000010,L8.1 Employers in small organisations (non-professional),1707
S12000010,L8.2 Employers in small organisations (agriculture),225
S12000010,L9.1 Own account workers (non-professional),4255
S12000010,L9.2 Own account workers (agriculture),253
S12000010,L10 Lower supervisory,3121
S12000010,L11.1 Lower technical craft,2424
S12000010,L11.2 Lower technical process operative,210
S12000010,L12.1 Semi-routine sales,3532
S12000010,L12.2 Semi-routine service,4859
S12000010,L12.3 Semi-routine technical,591
S12000010,L12.4 Semi-routine operative,865
S12000010,L12.5 Semi-routine agriculture,359
S12000010,L12.6 Semi-routine clerical,795
S12000010,L12.7 Semi-routine childcare,359
S12000010,L13.1 Routine sales and service,1273
S12000010,L13.2 Routine production,536
S12000010,L13.3 Routine technical,3219
S12000010,L13.4 Routine operative,3447
S12000010,L13.5 Routine agricultural,189
S12000010,L14.1 Never worked,1579
S12000010,L14.2 Long-term unemployed,1049
S12000010,L15 Full-time students,5177
S12000011,All people aged 16 to 74,64758
S12000011,L1 Employers in large organisations,39
S12000011,L2 Higher managerial,1694
S12000011,L3.1 (Traditional) - Employees,4072
S12000011,L3.2 (New) - Employees,2181
S12000011,L3.3 (Traditional) - Self-employed,1201
S12000011,L3.4 (New) - Self-employed,138
S12000011,L4.1 (Traditional) - Employees,9704
S12000011,L4.2 (New) - Employees,1053
S12000011,L4.3 (Traditional) - Self-employed,814
S12000011,L4.4 (New) - Self-employed,225
S12000011,L5 Lower managerial,3319
S12000011,L6 Higher supervisory,1935
S12000011,L7.1 Intermediate clerical and administrative,6288
S12000011,L7.2 Intermediate sales and service,2239
S12000011,L7.3 Intermediate technical and auxiliary,695
S12000011,L7.4 Intermediate engineering,284
S12000011,L8.1 Employers in small organisations (non-professional),1734
S12000011,L8.2 Employers in small organisations (agriculture),36
S12000011,L9.1 Own account workers (non-professional),3173
S12000011,L9.2 Own account workers (agriculture),98
S12000011,L10 Lower supervisory,1902
S12000011,L11.1 Lower technical craft,1561
S12000011,L11.2 Lower technical process operative,182
S12000011,L12.1 Semi-routine sales,2558
S12000011,L12.2 Semi-routine service,2813
S12000011,L12.3 Semi-routine technical,434
S12000011,L12.4 Semi-routine operative,472
S12000011,L12.5 Semi-routine agriculture,28
S12000011,L12.6 Semi-routine clerical,757
S12000011,L12.7 Semi-routine childcare,317
S12000011,L13.1 Routine sales and service,832
S12000011,L13.2 Routine production,306
S12000011,L13.3 Routine technical,1492
S12000011,L13.4 Routine operative,1477
S12000011,L13.5 Routine agricultural,31
S12000011,L14.1 Never worked,1586
S12000011,L14.2 Long-term unemployed,852
S12000011,L15 Full-time students,6236
S12000036,All people aged 16 to 74,370018
S12000036,L1 Employers in large organisations,92
S12000036,L2 Higher managerial,7126
S12000036,L3.1 (Traditional) - Employees,26680
S12000036,L3.2 (New) - Employees,13789
S12000036,L3.3 (Traditional) - Self-employed,5065
S12000036,L3.4 (New) - Self-employed,1132
S12000036,L4.1 (Traditional) - Employees,43936
S12000036,L4.2 (New) - Employees,5972
S12000036,L4.3 (Traditional) - Self-employed,5913
S12000036,L4.4 (New) - Self-employed,1147
S12000036,L5 Lower managerial,16526
S12000036,L6 Higher supervisory,9193
S12000036,L7.1 Intermediate clerical and administrative,30347
S12000036,L7.2 Intermediate sales and service,10272
S12000036,L7.3 Intermediate technical and auxiliary,3761
S12000036,L7.4 Intermediate engineering,1422
S12000036,L8.1 Employers in small organisations (non-professional),6273
S12000036,L8.2 Employers in small organisations (agriculture),75
S12000036,L9.1 Own account workers (non-professional),15994
S12000036,L9.2 Own account workers (agriculture),197
S12000036,L10 Lower supervisory,12253
S12000036,L11.1 Lower technical craft,7649
S12000036,L11.2 Lower technical process operative,624
S12000036,L12.1 Semi-routine sales,12577
S12000036,L12.2 Semi-routine service,18727
S12000036,L12.3 Semi-routine technical,1494
S12000036,L12.4 Semi-routine operative,2194
S12000036,L12.5 Semi-routine agriculture,127
S12000036,L12.6 Semi-routine clerical,3919
S12000036,L12.7 Semi-routine childcare,1576
S12000036,L13.1 Routine sales and service,5881
S12000036,L13.2 Routine production,1764
S12000036,L13.3 Routine technical,8155
S12000036,L13.4 Routine operative,14751
S12000036,L13.5 Routine agricultural,272
S12000036,L14.1 Never worked,10281
S12000036,L14.2 Long-term unemployed,5367
S12000036,L15 Full-time students,57495
S12000013,All people aged 16 to 74,20234
S12000013,L1 Employers in large organisations,2
S12000013,L2 Higher managerial,258
S12000013,L3.1 (Traditional) - Employees,606
S12000013,L3.2 (New) - Employees,145
S12000013,L3.3 (Traditional) - Self-employed,152
S12000013,L3.4 (New) - Self-employed,16
S12000013,L4.1 (Traditional) - Employees,2803
S12000013,L4.2 (New) - Employees,97
S12000013,L4.3 (Traditional) - Self-employed,233
S12000013,L4.4 (New) - Self-employed,28
S12000013,L5 Lower managerial,699
S12000013,L6 Higher supervisory,576
S12000013,L7.1 Intermediate clerical and administrative,1273
S12000013,L7.2 Intermediate sales and service,649
S12000013,L7.3 Intermediate technical and auxiliary,288
S12000013,L7.4 Intermediate engineering,130
S12000013,L8.1 Employers in small organisations (non-professional),498
S12000013,L8.2 Employers in small organisations (agriculture),110
S12000013,L9.1 Own account workers (non-professional),1347
S12000013,L9.2 Own account workers (agriculture),306
S12000013,L10 Lower supervisory,1076
S12000013,L11.1 Lower technical craft,727
S12000013,L11.2 Lower technical process operative,95
S12000013,L12.1 Semi-routine sales,784
S12000013,L12.2 Semi-routine service,1755
S12000013,L12.3 Semi-routine technical,86
S12000013,L12.4 Semi-routine operative,436
S12000013,L12.5 Semi-routine agriculture,23
S12000013,L12.6 Semi-routine clerical,204
S12000013,L12.7 Semi-routine childcare,112
S12000013,L13.1 Routine sales and service,336
S12000013,L13.2 Routine production,184
S12000013,L13.3 Routine technical,1378
S12000013,L13.4 Routine operative,1087
S12000013,L13.5 Routine agricultural,83
S12000013,L14.1 Never worked,303
S12000013,L14.2 Long-term unemployed,341
S12000013,L15 Full-time students,1008
S12000014,All people aged 16 to 74,116368
S12000014,L1 Employers in large organisations,14
S12000014,L2 Higher managerial,1812
S12000014,L3.1 (Traditional) - Employees,3029
S12000014,L3.2 (New) - Employees,2506
S12000014,L3.3 (Traditional) - Self-employed,503
S12000014,L3.4 (New) - Self-employed,132
S12000014,L4.1 (Traditional) - Employees,12648
S12000014,L4.2 (New) - Employees,1467
S12000014,L4.3 (Traditional) - Self-employed,784
S12000014,L4.4 (New) - Self-employed,178
S12000014,L5 Lower managerial,4894
S12000014,L6 Higher supervisory,3415
S12000014,L7.1 Intermediate clerical and administrative,9607
S12000014,L7.2 Intermediate sales and service,4679
S12000014,L7.3 Intermediate technical and auxiliary,1649
S12000014,L7.4 Intermediate engineering,519
S12000014,L8.1 Employers in small organisations (non-professional),2136
S12000014,L8.2 Employers in small organisations (agriculture),59
S12000014,L9.1 Own account workers (non-professional),5259
S12000014,L9.2 Own account workers (agriculture),211
S12000014,L10 Lower supervisory,5565
S12000014,L11.1 Lower technical craft,4938
S12000014,L11.2 Lower technical process operative,910
S12000014,L12.1 Semi-routine sales,6061
S12000014,L12.2 Semi-routine service,6845
S12000014,L12.3 Semi-routine technical,1616
S12000014,L12.4 Semi-routine operative,2420
S12000014,L12.5 Semi-routine agriculture,91
S12000014,L12.6 Semi-routine clerical,1487
S12000014,L12.7 Semi-routine childcare,696
S12000014,L13.1 Routine sales and service,1917
S12000014,L13.2 Routine production,1546
S12000014,L13.3 Routine technical,5969
S12000014,L13.4 Routine operative,8364
S12000014,L13.5 Routine agricultural,94
S12000014,L14.1 Never worked,3267
S12000014,L14.2 Long-term unemployed,2388
S12000014,L15 Full-time students,6693
S12000015,All people aged 16 to 74,271911
S12000015,L1 Employers in large organisations,37
S12000015,L2 Higher managerial,4425
S12000015,L3.1 (Traditional) - Employees,9354
S12000015,L3.2 (New) - Employees,4935
S12000015,L3.3 (Traditional) - Self-employed,1779
S12000015,L3.4 (New) - Self-employed,323
S12000015,L4.1 (Traditional) - Employees,29635
S12000015,L4.2 (New) - Employees,2821
S12000015,L4.3 (Traditional) - Self-employed,2204
S12000015,L4.4 (New) - Self-employed,407
S12000015,L5 Lower managerial,10510
S12000015,L6 Higher supervisory,8581
S12000015,L7.1 Intermediate clerical and administrative,19684
S12000015,L7.2 Intermediate sales and service,10934
S12000015,L7.3 Intermediate technical and auxiliary,3246
S12000015,L7.4 Intermediate engineering,1357
S12000015,L8.1 Employers in small organisations (non-professional),5175
S12000015,L8.2 Employers in small organisations (agriculture),419
S12000015,L9.1 Own account workers (non-professional),12368
S12000015,L9.2 Own account workers (agriculture),745
S12000015,L10 Lower supervisory,13130
S12000015,L11.1 Lower technical craft,9255
S12000015,L11.2 Lower technical process operative,1288
S12000015,L12.1 Semi-routine sales,13399
S12000015,L12.2 Semi-routine service,17854
S12000015,L12.3 Semi-routine technical,3462
S12000015,L12.4 Semi-routine operative,5571
S12000015,L12.5 Semi-routine agriculture,688
S12000015,L12.6 Semi-routine clerical,2899
S12000015,L12.7 Semi-routine childcare,1188
S12000015,L13.1 Routine sales and service,4574
S12000015,L13.2 Routine production,4029
S12000015,L13.3 Routine technical,12621
S12000015,L13.4 Routine operative,15038
S12000015,L13.5 Routine agricultural,318
S12000015,L14.1 Never worked,7738
S12000015,L14.2 Long-term unemployed,5723
S12000015,L15 Full-time students,24197
S12000046,All people aged 16 to 74,457863
S12000046,L1 Employers in large organisations,40
S12000046,L2 Higher managerial,4622
S12000046,L3.1 (Traditional) - Employees,19695
S12000046,L3.2 (New) - Employees,8385
S12000046,L3.3 (Traditional) - Self-employed,2995
S12000046,L3.4 (New) - Self-employed,528
S12000046,L4.1 (Traditional) - Employees,44294
S12000046,L4.2 (New) - Employees,4679
S12000046,L4.3 (Traditional) - Self-employed,4737
S12000046,L4.4 (New) - Self-employed,758
S12000046,L5 Lower managerial,14290
S12000046,L6 Higher supervisory,8763
S12000046,L7.1 Intermediate clerical and administrative,31435
S12000046,L7.2 Intermediate sales and service,14008
S12000046,L7.3 Intermediate technical and auxiliary,5695
S12000046,L7.4 Intermediate engineering,1551
S12000046,L8.1 Employers in small organisations (non-professional),6148
S12000046,L8.2 Employers in small organisations (agriculture),26
S12000046,L9.1 Own account workers (non-professional),16136
S12000046,L9.2 Own account workers (agriculture),135
S12000046,L10 Lower supervisory,17232
S12000046,L11.1 Lower technical craft,12711
S12000046,L11.2 Lower technical process operative,1364
S12000046,L12.1 Semi-routine sales,21241
S12000046,L12.2 Semi-routine service,31575
S12000046,L12.3 Semi-routine technical,4462
S12000046,L12.4 Semi-routine operative,6440
S12000046,L12.5 Semi-routine agriculture,74
S12000046,L12.6 Semi-routine clerical,4932
S12000046,L12.7 Semi-routine childcare,1473
S12000046,L13.1 Routine sales and service,8410
S12000046,L13.2 Routine production,6842
S12000046,L13.3 Routine technical,17452
S12000046,L13.4 Routine operative,30087
S12000046,L13.5 Routine agricultural,305
S12000046,L14.1 Never worked,29107
S12000046,L14.2 Long-term unemployed,12365
S12000046,L15 Full-time students,62871
S12000017,All people aged 16 to 74,171557
S12000017,L1 Employers in large organisations,21
S12000017,L2 Higher managerial,2609
S12000017,L3.1 (Traditional) - Employees,5967
S12000017,L3.2 (New) - Employees,2317
S12000017,L3.3 (Traditional) - Self-employed,1772
S12000017,L3.4 (New) - Self-employed,214
S12000017,L4.1 (Traditional) - Employees,20154
S12000017,L4.2 (New) - Employees,1251
S12000017,L4.3 (Traditional) - Self-employed,2147
S12000017,L4.4 (New) - Self-employed,250
S12000017,L5 Lower managerial,7542
S12000017,L6 Higher supervisory,5407
S12000017,L7.1 Intermediate clerical and administrative,11595
S12000017,L7.2 Intermediate sales and service,5080
S12000017,L7.3 Intermediate technical and auxiliary,2257
S12000017,L7.4 Intermediate engineering,910
S12000017,L8.1 Employers in small organisations (non-professional),4926
S12000017,L8.2 Employers in small organisations (agriculture),653
